pageid,title,cleaned_member
946445,The KillerHertz,"['Thomas\xa0Trold, Kent KillerHertz, Jonas Roxx og Jakob Bo Nielsen', 'Tais Pedersen, Stefan Sørensen, Rune Gregersen']"
502203,King Diamond (band),['Michael Denner']
404283,Kings Of Dark Disco,[]
105478,Kira & The Kindred Spirits,"['Kira Skov', 'Jesper Lind', 'Rune Kjeldsen', 'Nicolai Munch-Hansen']"
58994,Kitty Wu,"['Robert Lund', 'Allan Schøneberg', 'Claus Bergmann']"
345811,Knasterne,"['Carsten Mortensen', 'Henrik Overgaard', 'Lars Hansen', 'Lars Thaulow', 'Ole Hansen']"
147662,Kogt i Roen,"['Mikkel Christensen', 'Tobias Christensen', 'Michael Sørensen']"
142728,KoLeN',"['Jonas Kaas', 'Allan Blumensen', 'Martin Højfeldt', 'Mark Ramirez', 'Jesper Riis']"
469754,Krisekoret,[]
689841,Kræn Bysted's,"['Jakob Dalsgaard', 'Lars Dam', 'Ole Grønbæk', 'Karsten Kongsøre', 'Lars Lilholt', 'Inger Nyholm', 'Jacob Ohrt', 'Jens Jørgen Pedersen', 'Johs Stærk']"
226757,Langsyne,"['Ulrich Naehle', 'Egbert Froese', 'Matthias Mertler']"
404288,Lars & the Hands of Light,"['Lars Vognstrup', 'Line Vognstrup', 'Kristian Mondrup', 'John de Lira', 'Mikkel Andersen', 'Peter Leth', 'Thomas Styg']"
87957,Larsen and Furious Jane,"['Keld Jørgensen', 'Tom Jørgensen', 'Mikkel Bolding', 'Tore Johansen', 'Torsten Larsen']"
344745,Last Mile,"['Peter Høj Larsen', 'Lennart Egon Hansen', 'Jacob Bredahl']"
183110,Led Zeppelin Jam,"['Thomas Carlsen', 'Henrik Tvede', 'Carsten Neumann', 'Lars Vilmar Jensen', 'Simon Vilmar Jensen', 'Martin Schwerin', 'Ivan Horn', 'Michael Friis', 'Peter Andersen', 'Erik Hagström', 'Tim Christensen', 'Alex Nyborg Madsen']"
141315,Les Rivals,"['Peer Frost Johansson', 'Flemming Preisler', 'Henrik Hviid Carlsen', 'Bjørn Uglebjerg']"
203543,The Lips,[]
161176,Lone Kellermann og Rockbandet,"['Lone Kellermann', 'Bjørn Uglebjerg', 'Joachim Ussing', 'Ivan Horn', 'Thomas Grue', 'Nils Henriksen', 'Wili Jønsson', 'Billy Cross']"
40930,Lost Kids,"['Jan Jet', 'Kasper', 'Henrik', 'Bent', 'Lisbeth', 'Mek Pek', 'Kate Svanholm']"
424538,Luksus (band),"['Lise Westzynthius', 'Mikael Simpson', 'Henrik Vibskov']"
90772,Magtens Korridorer,"['Johan Olsen', 'Anders Ramhede', 'Niklas Schneidermann', 'Rasmus Kern', 'Terkel Møhl', 'Peter Bregnsbo', 'Jacob Ihlemann', 'Henrik Dylmer']"
425194,Marquis de Sade (band),['Anne Linnet']
202022,Matadorerne,"['Tommy P Petersen', 'Freddy Andreasen', 'Freddie Kademann', 'Per Stockmar', 'Jan Jerichau', 'Bobby Winson', 'Irving Waldorf', 'Johnny Axkjær', 'Tommy »Bas«\xa0Petersen', 'Ulrik Hansen', 'Frank Sveidahl', 'Johnny Bjørn']"
143700,The Maxwells,"['Kjeld Ipsen', 'Niels Harrit', 'Jørgen Werner', 'Lasse Lunderskov', 'Bent Hesselmann', 'Torben Enghoff', 'Børge Robert Mortensen', 'Lars Bisgaard']"
452292,Melting Walkmen,"['Emil Munk', 'Patrick Ringsborg', 'Simon Kjær', 'Magnus Bundgaard Nielsen']"
204795,Melvis & His Gentlemen,"['Ivan Haki Haagensen', 'Erik Hertz', 'Erik Knudsen']"
397016,Menfolk,"['Per Chnöeldh', 'Lars Thor', 'Søren Kirk Jakobsen', 'Per Jørgensen']"
562990,"Mescalin, Baby","['Marc Facchini-Madsen', 'Mads Graves Pedersen', 'Johan Ovesen', 'Søren Nørbjerg', 'Andreas Brandt']"
139744,Midnight Sun (band),[]
462594,Mimas (musikgruppe),"['Snævar Njáll Albertsson', 'Daniel Beck', 'Lasse Christensen', 'Gert Hoberg Jørgensen', 'Kenn Hedegaard Eskildsen']"
146198,Miss B. Haven,"['Lise Cabble', 'Anne Vig Skoven', 'Minna Grooss']"
868703,Mo-I-Rana (band),"['Nils Henriksen', 'Ken Gudman', 'Bill Hazen', 'Ole Prehn', 'Hans Lauridsen', 'Thorkild Nielsen', 'Henrik Friis Nielsen']"
191528,Molehill,"['Mikkel E', 'Tine Camilla Lind', 'Denniz Bertelsen', 'Simon Konski']"
499616,Monomania,"['Peter Bellaert', 'Jurgen Van De Gejuchte', 'Kristof Van De Velde']"
407867,Monopol (band),"['Nikolaj Rysager', 'Noah Rosanes']"
315280,Naïve,"['Povl Kristian', 'Hilmer Hassig', 'Flemming Muus', 'Gorm Ravn-Jonsen', 'Peter Michael Jensen', 'Claus Berthelsen', 'Martin Brygmann', 'Mette Mathiesen']"
453033,The Naked,"['Janus De Decker', 'Peter Bellaert']"
241211,Natural Born Hippies,"['Dan Hougesen', 'Bo Christensen', 'Tom Lindby', 'Sune Thorbjørnsen']"
440920,Nekromantix,"['Kim Nekroman', 'Andy DeMize', 'Emil Øelund']"
782993,Nelson Can,"['Selina Gin', 'Tam Vibberstoft']"
56569,News,"['Gitte Naur', 'Aske Jacoby', 'Jakob Vejslev', 'Lars Danielsson', 'Jeppe Reipurth', 'Jette Schandorf', 'Peter Biker', 'Martin Nordborg', 'Søs Fenger', 'Jørgen Rygaard', 'Nadia Stein']"
412945,Nikolaj & Piloterne,"['Henrik Tvede, Flemming Rothause, Christian Veitner, Matias la Cour']"
486563,No Knox,"['Per Buhl Acs', 'Tomas Ortved', 'Svend Overgaard', 'Jesper Reisinger', 'Vagn E. Olsson', 'Niels Thomsen']"
868069,No Name,[]
134403,Oh No Ono,"['Kristoffer Rom', 'Nis Svoldgaard', 'Malthe Fischer', 'Nicolai Koch']"
140182,Pan (musikgruppe),['Robert Lelièvre']
205968,Parkering Forbudt,"['Don Martin', 'Fox Nilfisk', 'Drezz', 'Grev Lyhne', 'Nico', 'Chris']"
1000679,Passport (band),"['Michael Hardinger', 'Paul Meyendorff', 'Bosse Hall Christensen', 'Niels Grønbech', 'Michael Bundesen', 'Jens Tage Nielsen']"
112643,Peter og de andre kopier,['Peter Molzen']
969631,Phonovectra,"['Mark Rosenér', 'Francis Nørgaard', 'Andreas Bothmann']"
230975,Picnic (band),"['Peter Fenger', 'Jens Sørensen', 'JP Krogh', 'Rasmus B. Lunding', 'Carsten Ortmann', 'Pablo Llambias', 'Ivan Hidalgo', 'Anders Watanabe Krøyer', 'Robert Ulrich', 'Jens Mønsted', 'René H. Clausen', 'Enrico Andreis']"
237330,Playhouse,[]
126961,The Pockets,"['Tom Moriis', 'Henning Nielsen', 'Stephan Agger', 'Jens-Peter Brodersen']"
179120,The Poisons,"['Erik Boas Pedersen', 'Erik Lindebjerg', 'Poul Trikker Svane', 'Vagn Gade', 'Henning Stærk Jacobsen', 'Johnny Thingsager Madsen', 'JP', 'Søren Vistisen']"
235996,President Fetch,"['Molle', 'Alioscha Serge', 'Anderz Nielsen', 'Carsten', 'Jens', 'Chris Ant Juris, Morten Groser, Martin Morgengrim Larsen, Per Eriksen']"
222043,Psyched Up Janis,['Sune Wagner']
239471,The Psyke Project,"['Rasmus Sejersen', 'Simon Vadstrup Schmidt', 'Martin Nielskov', 'Mikkel Vadstrup Schmidt', 'Jeppe Skouv', 'Christian Bonnesen']"
962546,Rabalder,[]
825550,Ripe (band),"['Michael Bastholm Dahl', 'Jakob Højgård Olsen', 'Jeppe Høiby', 'Lars Byskov Madsen', 'Peter Egtved Christensen', 'Bob Thunder', 'Oliver Weers']"
320404,Rock Hard Power Spray,['Mattias Hundebøll']
219719,Rockmaskinen (band),"['Jess Stæhr', 'Jakob Mygind', 'Klaus Thrane', 'Michael Bundgård', 'Malthe Enevold Nielsen', 'Michael Back', 'Poul Ewald', 'Viggo Steincke Bertelsen']"
355105,Rod (band),[]
341234,Rubber Kizz,"['Lars Iversen', 'Linda Bonde', 'Mikkel Dørig', 'Dan Hvidtfeldt Larsen', 'Miloud Carl Sabri']"
107191,Røde Mor,"['Bent Clausen', 'Peter Ingemann', 'Henrik Strube', 'Michael Boesen', 'Kim Menzer', 'Troels Trier', 'Lars Trier', 'Jens Breum', 'Peter Mogensen', 'Erik Clausen', 'Poul Poulsen', 'Jens Asbjørn Olesen', 'Finn Sørensen', 'Jens Elbøl', 'Leif Sylvester Petersen', 'Dea Trier Mørch']"
799675,Saint Rebel,"['Jonas Kaas', 'Lasse Hansen', 'Jesper Riis Kjærsgaard', 'Martin Højfeldt', 'Jakob Poppelvig']"
