pageid,title
992189,Jan & Kjeld
398051,Juice (musikgruppe)
418463,Juncker
874455,Kaputu
1165789,Kind mod Kind
360265,Kind of girl
584524,Klaus & Servants
131551,Laid Back
369468,Lecia & Lucienne
888192,Liss
856210,Little Trees
234958,The Lollipops
165728,Me & My
916560,"Me, She & Her"
998571,Mænd i Blåt
407872,Nice Device
412945,Nikolaj & Piloterne
646821,Noah (duo)
869065,Page Four
397418,Pelding
874390,Phlake
669368,Puls (band)
87185,Rocazino
165519,S.O.A.P.
101372,Sergeant Cane
1156934,Shirtsville
998645,Shubberne
173764,Sir Henry & His Butlers
48653,Souvenirs
405790,Stoffer & Maskinen
949043,Sweethearts
405828,The Late Parade
112638,Unite
871238,Virgin Suicide
695792,Wazzabi
686365,Zapp Zapp
1121376,Zar Paulo
1017692,Alzheimer Klinikken
115145,B.A.N.G.E.R.S.
1157549,B.O.C
850377,Benal
1023849,BFL
107819,Bumsestilen
903532,De Danske Hyrder
357534,Kinski
685054,MFS (musikgruppe)
952738,Molotov Movement
344405,Sound of Seduction
734687,Sphaeren
206147,Sund Fornuft (musikgruppe)
908651,Ude af kontrol
392306,200 (rockgruppe)
253591,Boys In A Band
847539,Chase (band)
847541,Mold
407975,Paradox
247579,The Dreams
445372,The Ghost
979210,Vsj
855248,Yggdrasil (band)
422269,IGNUG
661232,Afenginn
939525,Almune
869242,Asynje (band)
166721,De Gyldne Løver
732618,Dreamers' Circus
1046937,Floating Sofa Quartet
846064,Gny
976990,Heilung
557443,Hvalsøspillemændene
396615,Klondyke
150480,Lasse & Mathilde
858567,Of the Wand & the Moon
275039,Phønix
1000636,Quacks
376855,Rebild Spillemændene
257825,Sømændene
907976,The White Album (band)
341441,Trio Mio
870664,Trolska Polska
867843,Truppo Trotto
410317,Tørfisk (musikgruppe)
204274,Valravn (band)
204276,Virelai
408580,4Fod
418850,8210 (sanggruppe)
1157549,B.O.C
416626,Bring Det På
107819,Bumsestilen
161420,Experterne
79206,F.I.P.
250051,Fler Farver
209358,Flopstarz
173127,Humleridderne
727899,Kaliber (gruppe)
128417,Klart Dér!
182337,KNA Connected
370783,M-Cnatet
951990,MellemFingaMuzik
191943,Mirakl Crew
276281,Nobody Beats The Beats
397396,Organiseret Riminalitet
120873,Rent mel
278728,Revoltage
417732,Rockers By Choice
399211,Selvmord (gruppe)
405784,Specktors
734687,Sphaeren
79505,Suspekt (gruppe)
244325,The Gypsies
228927,Top Niveau Records
908651,Ude af kontrol
105766,UFO Yepha
732564,Ukendt Kunstner
762955,Vild Smith
494991,4 Guys From the Future
402502,Alcoholic Faith Mission
508591,Bazookahosen
1114082,Citizen Odin
1114107,Dangers of the Sea
562518,Escape Artists
233031,Gangway
404088,I Got You On Tape
396643,Lis Er Stille
436997,Lovebites
440422,Marvel Hill
453033,The Naked
436980,The Rhonda Harris
389637,A Kid Hereafter
255559,ADS (band)
118012,Amdi Petersens Armé
140567,Asbest (band)
263790,Baader-Meinhof (bandet)
143307,Ballet Mécanique (band)
451743,Before
502550,Black Badges
299905,Bollocks
303648,Brats
490065,Bubs
448785,Chainsaw Eaters
492653,City Roots
451774,City-X
218165,The Clochards
199043,Cola Freaks
491147,D-Day (band)
217706,Dream Police
488304,Elektrochok (band)
497612,Even Dwarfs
483672,Freshly Riots
486173,Gate Crashers
160734,Gorilla Angreb
154534,Hjertestop (band)
158425,Honning (band)
479972,Iceage
490071,Local Operator
40930,Lost Kids
491515,Mad Gustaf Band
487331,Martin and the Martians
452292,Melting Walkmen
499616,Monomania
153919,Niels På Dåse
489837,No Fun (band)
219424,No Hope for the Kids
486563,No Knox
491959,Normals
91344,Paragraf 119
488408,Pin-Ups
235996,President Fetch
490308,Prügelknaben
499470,Pubescent Hysteria
493082,Radar (band)
139591,Razorblades
438912,Skarpretter (band)
737309,Skullclub
86212,Sods
493875,Support (band)
488284,Tee Vee Pop
488298,Tina Talks
563425,Tristan T
233049,UCR
153766,Under Al Kritik
91524,War of Destruction
351566,Young Wasteners
493335,ZV Group
322926,100 Knives Inside
689230,Amaranthe
387332,The Arcane Order
205521,Artillery
143452,As We Fight
1002627,Baest
112695,Beyond Twilight
910521,Blood Label
361176,The Burning
276572,By the Patient
454040,The Cleansing
168080,Cyanotic
232332,Dawn of Demise
1007483,Defecto
117588,Düreforsög
792529,Essence (band)
1171838,Foon
1169650,Galge (band)
